region,bygnType,statistikkvariabel,aar,value,k_kode,kommune_nr,fylkesnr,fylke
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2019,2203,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2020,2222,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2021,2247,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2022,2283,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2023,2324,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2024,2328,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2025,2332,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2006,2108,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2007,2088,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2008,2135,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2009,2164,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2010,2168,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2011,2168,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2012,2174,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2013,2171,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2014,2177,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2015,2202,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2016,2209,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2017,2221,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2018,2247,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2019,2249,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2020,2254,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2021,2283,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2022,2328,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2023,2341,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2024,2371,K-3101,3101,31,Østfold
Halden,Boligblokk,Boliger (bebodde og ubebodde),2025,2413,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2006,181,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2007,181,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2008,181,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2009,173,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2010,173,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2011,173,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2012,173,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2013,173,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2014,236,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2015,459,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2016,474,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2017,474,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2018,473,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2019,473,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2020,474,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2021,456,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2022,665,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2023,665,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2024,666,K-3101,3101,31,Østfold
Halden,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2025,666,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2006,629,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2007,630,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2008,600,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2009,596,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2010,629,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2011,639,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2012,648,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2013,660,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2014,663,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2015,661,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2016,646,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2017,658,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2018,665,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2019,667,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2020,674,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2021,679,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2022,680,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2023,657,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2024,645,K-3101,3101,31,Østfold
Halden,Andre bygningstyper,Boliger (bebodde og ubebodde),2025,639,K-3101,3101,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2006,8409,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2007,8474,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2008,8486,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2009,8598,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2010,8691,K-3103,3103,31,Østfold
